text_key,sdtm,adam
id_col,USUBJID,USUBJID
seq_col,ASEQ,AESEQ
stdy_col,ASTDY,AESTDY
endy_col,AENDY,AEENDY
term_col,AETERM,AETERM
filters,,
details,,
treatment_col,ARM,ARM
treatment1,,
treatment2,,
bodsys_col,AEBODSYS,AEBODSYS
