text_key,aetimelines,aeexplorer
id_col,TRUE,TRUE
seq_col,TRUE,FALSE
stdy_col,TRUE,FALSE
endy_col,TRUE,FALSE
term_col,TRUE,TRUE
filters,TRUE,TRUE
details,TRUE,TRUE
treatment_col,FALSE,TRUE
treatment1,FALSE,FALSE
treatment2,FALSE,FALSE
bodsys_col,FALSE,TRUE
