text_key,adam,sdtm
id_col,USUBJID,USUBJID
seq_col,ASEQ,AESEQ
stdy_col,ASTDY,AESTDY
endy_col,AENDY,AEENDY
term_col,AETERM,AETERM
filters,,
details,,
