text_key,label,description,setting_type,setting_required,column_mapping,column_type,field_mapping,field_column_key,setting_cat
id_col,ID column,Unique subject identifier variable name.,character,TRUE,TRUE,character,FALSE, ,data
seq_col,Sequence column,Event sequence number variable name,character,TRUE,TRUE,numeric,FALSE,,data
stdy_col,AE Start day column,Event start day variable name,character,TRUE,TRUE,numeric,FALSE,,data
endy_col,AE End day column,Event end day variable name,character,TRUE,TRUE,numeric,FALSE,,data
term_col,Preferred Term Column,verbatim adverse event text variable name,character,TRUE,TRUE,character,FALSE,,data
filters,Filters columns,"An optional list of specifications for filters. Each filter is a nested, named list (containing the filter value column: 'value_col' and associated label: 'label') within the larger list.",vector,FALSE,TRUE,NA,FALSE,,data
details,Details columns,"An optional list of specifications for details listing.  Each column to be added to details listing is a nested, named list (containing the variable name: ""value_col"" and associated label: ""label"") within the larger list.",vector,FALSE,TRUE,NA,FALSE,,data
